"CostTitle","Date","Odo","CostTypeID","Notes","Cost","flag","idR","read","RemindOdo","RemindDate","isTemplate","RepeatOdo","RepeatMonths","isIncome","UniqueId"
"Revisione","2020-01-25 14:42","178600","1","presso Officina Cardoni","66.88","0","0","1","0","2011-01-01","0","0","0","0","52"
"Cambio gomme invernali","2019-12-14 15:03","175600","1","smaltimento gomme estive
presso Officina Cardoni","25.0","0","0","1","0","2011-01-01","0","0","0","0","66"
"Tagliando 175000 Km","2019-12-14 15:06","175600","2","Cambio olio
Filtro olio
Filtro aria
Diagnostica
presso Officina Cardoni","175.0","0","0","1","0","2011-01-01","0","0","0","0","67"
"Cambio gomme invernali","2019-04-23 15:01","161800","1","presso Lineauto","25.0","0","0","1","0","2011-01-01","0","0","0","0","65"
"Cambio gomme invernali","2018-12-15 14:24","153983","1","Montate presso Lineauto
Gomme Sailun
Smaltite gomme estive","300.0","0","0","1","0","2011-01-01","0","0","0","0","46"
"Revisione","2018-01-08 14:40","147340","1","Presso Cipriano Giorgio","66.88","0","0","1","0","2011-01-01","0","0","0","0","51"
"Cambio gomme estive","2017-05-30 15:00","142100","1","presso Lineauto","20.0","0","0","1","0","2011-01-01","0","0","0","0","64"
"Sostituzione lampada H4","2017-01-03 14:22","131484","2","","10.0","0","0","1","0","2011-01-01","0","0","0","0","44"
"Spazzole davanti dietro","2017-01-03 14:21","131484","2","Spazzole tergicristalli anteriore e posteriore.
Distributore via perugina","39.0","0","0","1","0","2011-01-01","0","0","0","0","45"
"Cambio gomme invernali","2016-12-02 14:59","129020","1","presso Lineauto","20.0","0","0","1","0","2011-01-01","0","0","0","0","63"
"Tagliando 120000 Km","2016-10-24 14:26","126515","2","Presso Officina Cardoni","255.0","0","0","1","0","2011-01-01","0","0","0","0","47"
"Sostituzione vetro portiera anteriore sinistra","2016-09-24 14:57","124523","2","vetro anteriore sinistro 120€
alzacristalli posteriore destro 65€
presso Elvio Fiorucci","185.0","0","0","1","0","2011-01-01","0","0","0","0","62"
"Revisione","2016-01-23 14:38","109380","1","Presso Officina Cardoni","66.88","0","0","1","0","2011-01-01","0","0","0","0","50"
"Sostituzione mascherina anteriore","2015-12-18 14:56","107600","2","presso Elvio Fiorucci","225.0","0","0","1","0","2011-01-01","0","0","0","0","61"
"Cambio gomme invernali","2015-11-28 14:55","105700","1","presso Lineauto","20.0","0","0","1","0","2011-01-01","0","0","0","0","60"
"Tagliando 90000","2015-07-24 14:53","96600","2","Rettifica dischi anteriori
sostituzione pasticche anteriori
presso Officina Cardoni","240.0","0","0","1","0","2011-01-01","0","0","0","0","59"
"Sostituzione accendisigari","2015-07-23 14:52","96460","2","","15.0","0","0","1","0","2011-01-01","0","0","0","0","58"
"Cambio gomme estive","2015-06-27 14:51","94320","1","presso Lineauto","300.0","0","0","1","0","2011-01-01","0","0","0","0","57"
"Rabbocco olio","2014-12-24 14:50","84920","2","Rabbocco olio 2 kg
presso Dino Bianchini","20.0","0","0","1","0","2011-01-01","0","0","0","0","56"
"Cambio gomme invernali","2014-12-06 14:49","82500","1","Gomme Roadstone Winguard sport
presso Lineauto","280.0","0","0","1","0","2011-01-01","0","0","0","0","55"
"Sostituzione biella ruota destra","2014-11-15 14:48","81000","2","Presso Dino Bianchini","39.0","0","0","1","0","2011-01-01","0","0","0","0","54"
"Revisione","2014-01-20 14:33","68673","1","Presso ConsAuto","65.6","0","0","0","0","2011-01-01","0","0","0","0","48"
"Tagliando 60000","2013-10-07 14:46","65380","2","Rabbocco olio 0.5 lt
Candele
Filtro aria
Presso Dino Bianchini","85.0","0","0","1","0","2011-01-01","0","0","0","0","53"
"Tagliando 30000 Km","2011-02-12 14:36","30100","2","Presso Rampini Auto","140.2","0","0","1","0","2011-01-01","0","0","0","0","49"
